Coursera User IDs,
ni-001,friendsmoneybytes-002
93989,102689
94176,102703
94384,102974
94411,103070
94802,103189
94809,103220
95081,103356
95152,103543
95392,103580
95676,103606
95743,103682
95806,103698
95821,103834
95925,104074
95954,104083
96004,104122
96012,104238
96059,104319
96113,104385
96377,104479
96520,104617
96601,104646
96696,104711
96796,104811
96809,104846
96825,104920
96963,104984
96977,105050
97031,105151
97141,105293
97233,105391
97242,105494
97265,105519
97366,105593
97421,105964
97843,106097
97941,106101
98276,106115
98708,106321
98717,106333
98985,106609
99088,106649
99323,106661
99379,106724
99392,106838
99563,107052
99680,107065
100063,107108
100111,107153
100213,107225
100238,107240
100262,107315
100630,107383
100701,107420
100714,107456
100899,107531
101026,107554
101034,107689
101222,107741
101231,107841
101375,107867
101625,107922
101661,108028
101677,108182
101678,108362
101741,108745
101923,108754
102089,108987
102402,109127
102495,109259
102549,109353
102555,109357
102592,109397
102694,109477
102883,109575
102974,109633
103332,109650
103430,109686
103606,109810
103697,110393
103753,110679
103783,110961
103834,111021
103846,111056
104003,111073
104083,111154
104101,111173
104319,111377
104646,111461
104846,111586
104963,111610
105065,111678
105282,111768
105293,111993
105479,112086
105805,112160
105915,112196
105992,112327
106046,112455
106097,112598
106222,112633
106333,112882
106440,113025
106609,113137
106649,113445
106670,113583
106687,113594
106724,113603
106747,113632
106790,113674
106908,113797
106989,113869
107003,113996
107077,114000
107108,114284
107236,114559
107328,114622
107350,114628
107394,114719
107531,114780
107841,114794
107862,114799
108152,115014
108523,115036
108591,115168
108770,115278
109066,115418
109245,115443
109246,115483
109477,115573
109611,115643
109643,115734
110279,115773
110396,115774
110397,115870
110500,115968
110571,116017
110961,116099
111340,116444
111416,116482
111428,116498
111430,116593
111610,116648
111667,116701
111678,116837
111764,116951
111768,117108
111882,117225
112141,117270
112275,117285
112327,117329
112339,117330
112373,117372
112891,117788
112903,117867
112910,117914
112988,118048
113071,118089
113137,118162
113306,118181
113659,118256
113745,118421
113899,118614
114154,118640
114409,118843
114622,119336
114763,119437
114892,119575
114955,119627
114975,119640
115211,119648
115263,119655
115279,119661
115432,120014
115483,120126
115525,120382
115643,120432
115683,120467
115695,120729
115806,120975
115819,121074
116239,121440
116318,121475
116648,121950
116746,122266
116778,122452
116905,122924
117108,122951
117298,123042
117303,123046
117329,123127
117704,123175
117788,123241
117934,123415
118048,123433
118162,123855
118202,123857
118308,123935
118464,123952
118474,123969
118601,123977
118620,124249
118640,124358
118745,124451
119201,124648
119309,124652
119451,124700
119627,124809
119648,125161
119962,125165
120205,125229
120301,125378
120490,125421
120696,125500
120711,125606
120741,125860
120805,125874
120807,125896
121043,125931
121074,125988
121188,126241
121290,126381
121440,126445
121492,126464
121603,126510
121674,126553
121677,126561
121950,126576
122118,126649
122255,126659
122270,126742
122360,126816
122429,126927
122555,126960
122592,126968
122900,127102
122951,127287
122953,127394
122979,127505
123037,127508
123075,127553
123127,127942
123264,128055
123310,128100
123363,128165
123388,128305
123415,128306
123457,128622
123551,128696
123687,128748
123935,128872
123952,128915
124076,129030
124249,129091
125094,129112
125095,129121
125242,129123
125282,129137
125299,129165
125357,129174
125375,129819
125378,129828
125606,129939
125972,129967
125988,129980
126064,130102
126065,130376
126073,130404
126129,130522
126241,130545
126266,130557
126464,130693
126505,130735
126553,130902
126570,131007
126888,131075
126927,131145
126968,131208
127127,131447
127146,131669
127394,131827
127436,131968
127508,131983
127649,132121
127650,132493
127905,132777
127995,132910
128021,132933
128052,133062
128058,133181
128100,133329
128196,133543
128306,133614
128463,133984
128524,134039
128642,134268
128676,134802
128807,134914
128967,134926
129030,134943
129091,135007
129112,135090
129123,135114
129165,135141
129221,135314
129362,135440
129450,135538
129565,135582
129618,135591
129687,135650
129745,135746
129819,135842
129870,135880
129980,135960
130513,136188
130522,136312
130693,136397
130836,136505
130893,136571
130933,136671
131007,136715
131045,137290
131145,137375
131206,137417
131431,137558
131511,137806
131600,137816
131857,137991
131886,138161
131968,138195
132131,138551
132192,138602
132478,138719
132687,138739
132875,138784
132933,139212
133062,139290
133164,139632
133181,139681
133236,139696
133284,139734
133404,140042
133417,140060
133503,140116
133543,140200
133614,140772
133689,141292
133854,141314
133885,141441
133931,141526
134081,141730
134097,142024
134163,142190
134215,142223
134243,142347
134268,142443
134287,142450
134384,142627
134709,142628
134802,142738
135160,142885
135250,143000
135382,143065
135538,143138
135661,143200
135860,143275
135998,143395
136188,143408
136250,143471
136405,143517
136409,143622
136571,143688
136572,143907
136893,144324
136922,144520
136927,144589
137024,144636
137142,144787
137262,144808
137417,144902
137438,145072
137444,145073
137450,145103
137460,145196
137650,145471
138056,145499
138063,145541
138209,145699
138405,145831
138535,145861
138642,145895
138739,145949
138782,146026
138784,146086
139107,146099
139227,146271
139547,146285
139681,146329
139763,146439
140102,146525
140326,146814
140447,146846
140520,147007
140528,147149
140541,147354
140545,147714
140652,147860
140772,147998
140793,148079
141036,148369
141116,148590
141212,148735
141334,148937
141444,148977
141510,148979
141526,149045
141681,149066
141730,149610
141917,149618
141925,149640
142015,149678
142190,149688
142339,149800
142443,149990
142643,150001
142849,150192
142865,150207
142879,150433
142885,150634
143138,150945
143202,151026
143227,151198
143395,151201
143471,151210
143742,151246
143807,151250
143848,151340
144070,151391
144122,151406
144127,151646
144166,151895
144176,152010
144296,152087
144327,152255
144372,152270
144439,152299
144487,152597
144636,152780
144692,153038
144787,153042
144902,153186
145107,153542
145340,153769
145541,153974
145650,153992
145743,154223
145941,154352
146239,154457
146814,154690
146873,154943
146924,155444
147056,155454
147191,155463
147243,155589
147771,155868
148005,155895
148144,155924
148255,155975
148451,156032
148462,156068
148571,156131
148591,156172
148701,156177
148791,156247
148905,156506
148977,156802
149084,157765
149097,157918
149098,157931
149260,158501
149465,158645
149618,158824
149640,158937
149678,159110
149688,159325
149800,159374
149953,159521
150053,159549
150205,159797
150209,160014
150419,160173
150438,160200
150441,160788
150938,160861
150940,161419
151210,161456
151246,161529
151499,161738
151580,161802
151594,162010
151646,162149
152229,162151
152474,162384
152631,162461
153118,162476
153276,162563
153383,162582
153526,162610
153722,162900
153974,162996
153991,163389
153994,163460
154023,163503
154044,163637
154176,163900
154405,164174
154591,164307
154741,164371
154757,164387
154804,164519
155463,164633
155643,164991
156049,165084
156068,165291
156131,165537
156176,165973
156177,166032
156271,166163
156464,166370
156535,166536
